feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,classification
0.08197822,-0.4252597,0.49195123,-0.5094253,-0.18650617,-0.04293932,0.29738432,0.16728148,-0.19950128,0.021065691,1
-0.46493706,0.25095418,-0.2505642,-0.34684464,-0.10992737,0.32481468,0.13433352,-0.31868166,-0.44895378,0.6887281,1
-0.43386793,0.57507205,0.34213063,0.2011453,0.38069984,0.62718797,-0.8766106,0.26580018,0.62423676,-0.68215597,0
-0.55156595,-0.44765607,-0.5040836,-0.7533518,-0.39784428,-0.6674953,0.81686586,-0.5181035,0.7148891,0.5524662,0
-0.62544525,0.11138678,-0.33429357,-0.790228,-0.047623154,-0.3027357,-0.37883133,-0.25043264,-0.046765063,0.3298651,0
-0.16568173,0.13464336,-0.1568202,-0.5047385,-0.29562744,0.43612492,0.290071,-0.14064714,-0.4025851,0.3782857,1
-0.72301865,-0.10902205,0.68867576,-0.6383534,-0.047024485,-0.6310693,-0.36222544,-0.054912046,0.65708876,-0.05180397,1
-0.18016079,-0.29258627,0.2467525,-0.39916468,-0.22156654,-0.5062154,0.11508857,0.012733768,-0.18693939,0.39196128,1
0.09081478,0.00020661017,-0.1607425,-0.4666434,-0.3306966,-0.27380943,0.5077742,0.13784906,-0.11001276,0.52837026,1
-0.24266247,0.29649487,-0.3204601,-0.89605564,0.32345158,0.15657358,-0.7803289,0.15763696,0.39207304,-0.55798686,1
-0.056466863,-0.021869697,0.0513837,-0.7114392,-0.32420695,-0.19112165,0.31994867,0.0944289,0.10184751,0.30611145,1
0.11762738,0.37780848,0.5126965,-0.039539393,0.14941034,0.7139268,-0.8305632,-0.048970953,0.13402987,-0.7410797,0
-0.280235,0.5757037,0.43314114,0.08816785,0.38885298,0.6999374,-0.85413957,0.17006676,0.46097437,-0.7091557,0
0.58268994,-0.77259487,-0.15208432,0.67268705,-0.16211563,0.13789573,0.13549607,-0.6789686,0.5328742,-0.21014704,0
-0.5338584,0.07024018,0.5522478,0.14740847,0.17024633,0.5598073,-0.8495324,0.15983361,0.6278526,-0.60025054,0
0.09477447,0.5098487,0.37332922,0.053202823,0.20061927,0.8077243,-0.84670776,-0.12480341,-0.05571321,-0.73805267,0
0.5874358,-0.77237433,-0.1561334,0.6963485,-0.15622509,0.15496658,0.10237547,-0.65620244,0.47782633,-0.17761874,0
-0.36876962,0.3485395,0.40814838,0.222805,0.3291698,0.6206375,-0.8360551,0.18704545,0.69073284,-0.792657,0
0.11695863,-0.42013875,0.5095857,-0.51634145,-0.17885846,-0.032179765,0.29803637,0.17082238,-0.20968226,-0.023800524,1
0.40999427,-0.053374816,-0.15072179,0.7200169,0.29692551,-0.17464875,-0.61068875,-0.061374567,0.11267756,-0.09996916,0
-0.055797663,0.14445502,-0.22409454,-0.5605985,-0.34766167,0.19796547,0.29834595,-0.042050198,-0.21246794,0.37772226,1
-0.40107083,0.7296571,0.07214545,0.23627788,0.34832984,-0.2055664,-0.22229679,-0.24628708,0.52269775,-0.2418769,1
-0.25488093,0.2577039,0.55236214,0.05513897,0.24277414,0.7068793,-0.840948,0.1252,0.40287703,-0.7149314,0
-0.09037309,0.22008868,-0.35757735,-0.4446964,-0.35770416,0.3246285,0.3687758,-0.18265378,-0.3094673,0.45073563,1
-0.18927325,0.55818355,0.44826832,0.052089356,0.37524188,0.71558553,-0.8405744,0.16468884,0.37272137,-0.7074994,0
-0.19941097,-0.05375634,0.18008867,-0.7033651,-0.28164923,-0.20524372,0.14744322,0.09327916,0.027957652,0.34398848,1
0.47309,-0.39337552,-0.39850667,0.80776435,0.39887178,-0.22355053,-0.4991714,0.0011477167,0.09457424,-0.031788472,0
0.8421063,-0.3668432,-0.6665313,0.58399683,0.21386345,0.23627317,-0.13886866,-0.39396954,-0.82463145,0.38325715,1
-0.40315723,0.6366854,0.49684843,-0.06736848,0.30887857,0.49351233,-0.853515,0.016306354,0.6190171,-0.8011946,0
-0.33703926,0.21257755,-0.28495058,-0.44684714,-0.30301708,-0.35690248,0.529399,-0.21883394,0.56988615,-0.013502043,1
0.5840869,-0.7713953,-0.14448221,0.67581683,-0.15575516,0.15104169,0.12684946,-0.68081033,0.5204185,-0.21450974,0
0.51594293,-0.13298365,-0.2932115,0.77874297,0.4467442,-0.12846768,-0.44772875,-0.06497841,-0.07475314,0.09823448,0
-0.07182599,0.2381133,0.046612855,-0.65101135,-0.2999237,0.16964129,0.15672012,-0.1204239,0.08332601,0.0021513095,1
-0.58608216,0.06546157,-0.54462487,-0.73982906,-0.47661,0.11710014,0.7565224,-0.5994961,-0.17136917,0.8471164,1
0.51626694,-0.20640735,0.051679745,0.59488046,0.09130096,0.2618298,-0.2062471,-0.77428705,0.06658666,0.1670728,0
0.068066716,0.25294095,-0.041392185,-0.72288185,-0.4262134,-0.12113497,0.3403053,-0.051249355,0.13278463,0.09322197,0
-0.019389544,0.22590601,-0.24363591,-0.5040678,-0.362981,0.18321964,0.3309328,-0.1383896,-0.1397429,0.3166681,1
-0.260356,0.46543804,-0.3874983,-0.09123831,-0.18067002,-0.033627912,0.502732,-0.3185383,0.30858323,0.19128522,1
-0.04740449,-0.059571646,0.08514602,-0.7128216,-0.33127782,-0.14887306,0.31442416,0.11686344,0.03517079,0.32846305,1
-0.20630908,-0.004311728,0.06272393,-0.53451526,-0.32494953,-0.68423676,0.45384234,0.057398047,0.60445905,0.083544314,1
-0.33636472,0.51536125,0.3775756,0.0999867,0.37816417,0.64637417,-0.8830084,0.30851132,0.58814627,-0.771777,0
-0.21681961,0.7458505,-0.11443432,0.22605276,0.28603497,-0.16174364,-0.04943417,-0.19456331,0.5564498,-0.24457861,1
-0.030231722,-0.041744743,0.051824197,-0.70796764,-0.3377748,-0.16793251,0.32327995,0.10406493,0.02811959,0.34436956,1
-0.29230684,0.4156084,0.33155608,0.06635239,0.18132187,0.71464527,-0.87534183,0.19371168,0.5797981,-0.7343922,0
-0.08671681,-0.10129047,0.16253823,-0.7237012,-0.31729975,-0.10391977,0.29161966,0.14566284,0.05395142,0.28826356,1
-0.15507755,0.6272395,0.39956334,-0.12858365,0.41715074,0.8127858,-0.84437644,-0.35383332,0.32536757,-0.7915272,0
-0.026149178,-0.09513416,-0.090118565,-0.39444786,-0.4216105,-0.5294478,0.5373407,0.06847555,0.22350012,0.31995434,1
-0.06120181,0.19208671,-0.29214087,-0.45402843,-0.355919,0.2882151,0.35104588,-0.12750119,-0.2828261,0.41319644,1
-0.28033525,0.5835892,0.42272612,0.09586335,0.3860737,0.6781816,-0.8530834,0.1895684,0.49975076,-0.7205623,0
-0.47466427,-0.05843047,-0.40022114,-0.57907504,-0.3499535,-0.23109224,0.70155376,-0.5600169,0.19822016,0.5790709,1
0.44448397,0.048549913,-0.46610612,0.6995956,0.37868044,-0.24395587,-0.66012824,0.0042370614,0.07697274,-0.078213215,0
-0.46732247,-0.0028042719,-0.4000711,-0.89243597,-0.42808795,-0.066421114,0.58736044,-0.40850484,0.34399638,0.47804257,1
-0.46636218,0.34688032,0.5303318,0.16531415,0.24671207,0.62064165,-0.88268596,0.12072464,0.58664817,-0.74312353,0
-0.50255775,-0.6705533,0.7419508,-0.6064033,-0.32958573,0.17758991,0.5885831,0.21998404,0.19544338,0.19254532,0
-0.65011984,0.24342665,-0.4905528,-0.68645686,-0.43636322,-0.35770792,0.81693023,-0.5568541,0.07107411,0.85586226,1
-0.53046316,-0.6366329,0.7592394,-0.5883378,-0.31531262,0.27235478,0.57927203,0.13821311,0.23304589,0.099137075,0
-0.4037181,0.5507003,0.3766347,0.17086996,0.3793742,0.6478068,-0.8700858,0.2601934,0.5862849,-0.6894243,0
-0.071820945,-0.4745866,0.5371307,-0.474687,-0.19014391,-0.088237055,0.24106126,0.20210473,0.022385435,-0.020614149,1
-0.15926541,0.2128417,-0.29275516,-0.46401688,-0.33232328,0.32856616,0.33787674,-0.19276688,-0.31517488,0.4369467,1
-0.03970975,0.3329092,-0.2587932,-0.54935277,-0.34889844,0.19738843,0.24629006,-0.21079238,0.042294044,0.12551208,1
-0.11681889,0.073276825,-0.059186183,-0.6423725,-0.3145461,0.09287375,0.21869616,0.02240973,-0.13816538,0.33149937,1
-0.028008208,-0.008351358,-0.15671696,-0.35455325,-0.4222246,-0.49859634,0.5308438,-0.015179494,0.31863347,0.2014998,1
-0.044169147,0.07869662,-0.13250728,-0.60660195,-0.35299963,0.082521036,0.3234427,0.0025568248,-0.14088587,0.37404808,1
-0.31030408,0.58515203,0.34654832,0.12392971,0.35630855,0.6547629,-0.8862529,0.01607725,0.53238934,-0.7686899,0
-0.0430581,0.32052204,-0.32914102,-0.5238082,-0.34893712,0.23851064,0.2709774,-0.20168684,-0.099245705,0.25150472,1
-0.32899222,0.32430804,0.40594903,0.2236974,0.32070774,0.64707273,-0.8350168,0.1704129,0.6625621,-0.78759676,0
-0.11472847,0.1747531,-0.2648914,-0.4779594,-0.3454056,0.3519913,0.30641034,-0.10063928,-0.28236476,0.388053,1
-0.12445838,0.13468887,-0.19510761,-0.48466596,-0.34537554,0.35153627,0.30347902,-0.06699186,-0.259771,0.3636094,1
0.4708309,-0.12894261,-0.47664222,0.8131709,0.3709656,-0.16026032,-0.53092176,-0.12116047,0.22922866,-0.08467231,0
-0.33709416,0.6177618,0.36122906,0.15433645,0.3968137,0.6640635,-0.8725009,0.22152926,0.5434119,-0.6999757,0
-0.41056657,0.04356628,-0.6316225,-0.8267569,-0.1847569,0.076640084,0.08698619,-0.29026878,0.13237873,0.45867392,0
-0.1734464,0.6233619,0.42705742,-0.0067285467,0.42705122,0.84478456,-0.85591644,-0.5438664,-0.08784957,-0.62606925,0
0.11529402,-0.42303953,0.5145229,-0.5169658,-0.17747234,-0.026939975,0.2953262,0.17349814,-0.20776357,-0.029241556,1
0.61227304,-0.38181937,0.043519404,0.61999893,0.008606101,0.29145765,-0.01891843,-0.77961785,0.15858068,0.028699502,0
0.060675547,0.62378246,0.45819816,-0.054575685,0.32905987,0.7818421,-0.84874916,-0.34878188,0.032255605,-0.76597404,0
-0.21115261,0.41910407,0.52286017,0.035053983,0.33789656,0.7005978,-0.8409234,-0.30991974,0.46802756,-0.75046754,0
-0.6307867,0.39509612,-0.1878599,-0.6470249,0.046983443,-0.37338164,0.30045903,-0.24757679,0.41151097,0.3243449,1
-0.066345364,0.20145231,-0.30890417,-0.5094898,-0.34485304,0.27818918,0.2993826,-0.10010704,-0.27121466,0.39825913,1
-0.16590273,-0.3617333,0.47535658,-0.482863,-0.17853236,-0.25066018,0.2689403,0.12457231,0.2158005,-0.04340935,1
-0.09225302,-0.1072458,0.17354101,-0.7252043,-0.3153911,-0.097343594,0.2881905,0.14971615,0.05680193,0.28225845,1
-0.64732504,0.13946119,0.42263672,-0.3863416,-0.018549472,-0.66053325,-0.065618515,-0.16039118,0.541187,0.056349233,1
0.019399285,0.008019368,-0.23261525,-0.31436384,-0.43028677,0.5077166,0.4245461,0.09609682,-0.6754827,0.28035963,1
-0.82602173,0.341225,-0.13141723,-0.9152373,0.6785014,-0.7424643,-0.705085,0.84830695,-0.3213532,0.18214233,1
-0.30410603,0.56413835,0.39726463,0.12458426,0.315692,0.58568805,-0.87703526,0.031107329,0.5769969,-0.80087745,0
-0.6096277,0.019716652,-0.4228091,-0.71981853,-0.4301982,-0.44668636,0.8170209,-0.4034616,-0.009147965,0.87512594,1
-0.62930524,0.44838858,-0.35640886,-0.57124585,-0.18831497,-0.22829023,0.40484482,-0.44467688,0.4343946,0.2863139,1
0.024129597,-0.028960053,0.30191553,-0.35923806,-0.21586575,-0.027440175,0.3385435,-0.18450595,0.004395007,-0.14115876,1
-0.45593703,0.029221943,-0.5006016,0.1933714,0.3846749,-0.70403355,0.89788437,-0.13028063,-0.24954809,0.94212985,0
-0.82813394,0.2811967,0.36938182,-0.70972884,0.07801487,-0.64857996,-0.13444002,-0.25396714,0.61118966,0.17638505,1
-0.45995846,0.44329527,0.47715196,0.061266173,0.36299732,0.6712015,-0.91126204,0.3039359,0.49556038,-0.7458167,0
-0.071712196,-0.08538125,0.13296552,-0.7196026,-0.32258332,-0.12153666,0.30046502,0.13466147,0.046662454,0.30383235,1
-0.68754447,0.10842177,0.4217019,-0.44827047,0.011721089,-0.70469916,-0.13329646,-0.084601566,0.53675395,0.07907289,1
-0.3449065,0.62716013,0.35983396,0.15537672,0.4039519,0.67407936,-0.8748309,0.20154029,0.5343453,-0.69505,0
-0.027146067,0.020086082,0.5953842,-0.17879093,0.10347296,0.60995114,-0.6212425,0.10590492,0.28102887,-0.6426615,0
-0.38097885,0.57603294,0.37073317,0.17077273,0.38107353,0.64666,-0.8692462,0.23388593,0.5964409,-0.70270354,0
-0.27951267,0.3721636,-0.035872,-0.46140164,-0.19890766,-0.4025336,0.22896293,-0.09183578,0.56554765,-0.12976037,1
-0.6453549,0.1719019,-0.007702213,-0.76983684,-0.15351798,-0.5868664,0.39035663,-0.16925198,0.60047156,0.34934312,1
0.59485686,-0.7720815,-0.14568892,0.67616117,-0.15557244,0.14340481,0.11969373,-0.6791269,0.5253976,-0.21530643,0
-0.11316709,0.18778512,-0.29207084,-0.4716025,-0.34795785,0.35031015,0.31933388,-0.12179323,-0.29125267,0.40495643,1
-0.07638189,0.21327785,-0.3355742,-0.45154727,-0.35483688,0.31174347,0.352914,-0.1567258,-0.299967,0.4317032,1
-0.6880748,0.09073866,0.4783277,-0.4857494,0.0026423421,-0.7149954,-0.12246893,-0.09331611,0.5845829,0.050832264,1
-0.46222708,0.49633998,0.45219833,0.0736009,0.37424126,0.6613451,-0.91326714,0.2749122,0.5302512,-0.75414854,0
-0.18375705,0.1635349,-0.14954154,-0.5018241,-0.30725002,0.16725779,0.22218417,-0.09524286,-0.22612838,0.38606745,1
-0.060943596,-0.3060739,0.5734664,-0.50519615,-0.1327713,-0.0635549,0.2675619,0.06666559,0.09837363,-0.24027067,1
0.48454016,-0.039818645,-0.15465336,-0.29423204,-0.2979429,-0.44008008,0.7425354,-0.054921076,0.6572725,-0.37510017,0
